Video Length,Likes,Dislikes,Comments,Shares,Total Engagements,Total Views,Total Ad Views Paid,Total Organic Views,Total Views 7 days after published,Total Ad Views View 7,Total Organic Views View 7,Total Views 28 days after published,Total Ad Views View 28,Total Organic Views View 28,Total Completed Views,Total Minutes Watched,Total Ad Minutes Watched,Total Organic Minutes Watched,Total Minutes Watched 7 days after published,Total Ad Minutes Watched 7 days after published,Total Organic Minutes Watched 7 days after published,Total Minutes Watched 28 days after published,Total Ad Minutes Watched 28 days after published,Total Organic Minutes Watched 28 days after published,Average View Duration,Avg View Duration In Minutes,Avg Percent Viewed,Subs Gained,Avg
649,16863,949,559,2833,21204,2148120,76,2148044,970166,39,970127,1347535,76,1347459,106239,11597062,38,11597024,5374108,20,5374088,7369276,38,7369238,323,5.383333333,49.76887519,8647,Yes
199,7482,233,282,2600,10597,1576530,997941,578589,233862,168413,65449,925686,833144,92542,165537,3466651,2481791,984860,520835,379271,141564,2260075,2067507,192568,131,2.183333333,65.82914573,2411,Yes
236,2517,51,193,2442,5203,221810,0,221810,157113,0,157113,177522,0,177522,26925,565462,0,565462,404243,0,404243,456004,0,456004,152,2.533333333,64.40677966,277,Yes
1135,2225,45,99,2123,4492,134786,28343,106443,65614,17266,48348,106901,23608,83293,11893,1018065,155604,862461,470915,96911,374004,814841,132759,682082,453,7.55,39.91189427,299,Yes
528,6043,364,357,2086,8850,463632,116260,347372,66383,2,66381,258983,30253,228730,36513,1603600,186814,1416786,298388,0,298388,1101583,114678,986905,207,3.45,39.20454545,2993,Yes
155,2092,34,72,1979,4177,106123,0,106123,54644,0,54644,63501,0,63501,8163,176910,0,176910,91385,0,91385,106373,0,106373,100,1.666666667,64.51612903,152,No
532,1412,39,41,1788,3280,188047,0,188047,23809,0,23809,43176,0,43176,1183,517836,0,517836,72835,0,72835,126741,0,126741,165,2.75,31.01503759,469,Yes
189,2933,42,160,1785,4920,79025,0,79025,48152,0,48152,68748,0,68748,9450,166741,0,166741,102690,0,102690,146096,0,146096,126,2.1,66.66666667,376,Yes
203,2893,89,223,1630,4835,179906,0,179906,53652,0,53652,139857,0,139857,15126,410684,0,410684,122738,0,122738,323549,0,323549,136,2.266666667,66.99507389,483,Yes
180,1698,23,143,1585,3449,5037631,2988880,2048751,106673,47394,59279,5024594,2988869,2035725,600104,10191289,5923631,4267658,246885,114214,132671,10163779,5924428,4239351,121,2.016666667,67.22222222,799,Yes
306,2867,19,249,1530,4665,58330,0,58330,23929,0,23929,39215,0,39215,4565,166366,0,166366,65241,0,65241,109057,0,109057,171,2.85,55.88235294,119,No
693,2361,63,143,1522,4089,233091,112,232979,65619,6,65613,180822,112,180710,21742,740543,131,740412,388280,3,388277,654791,131,654660,190,3.166666667,27.41702742,388,Yes
440,3174,76,155,1464,4869,322706,62,322644,120673,12,120661,181438,62,181376,23996,1313947,63,1313884,504124,15,504109,749935,63,749872,244,4.066666667,55.45454545,531,Yes
