,time,total_views,stream_viewers
0,2/5/19 10:09,410421862,55493
0,2/5/19 11:09,410518014,48534
0,2/5/19 12:09,410661427,51179
0,2/5/19 13:09,410759105,50710
0,2/5/19 14:09,410854506,55978
0,2/5/19 15:09,410883311,
0,2/5/19 16:41,410891029,
0,2/5/19 17:41,410895544,
0,2/5/19 18:41,410899841,
0,2/5/19 19:41,410903279,
0,2/5/19 20:41,410906427,
0,2/5/19 21:41,410908980,
0,2/5/19 22:41,410911591,
0,2/5/19 23:41,410913004,
0,2/6/19 0:41,410914235,
0,2/6/19 1:41,410915388,
0,2/6/19 2:41,410916578,
0,2/6/19 3:41,410917762,
0,2/6/19 4:41,410920046,
0,2/6/19 5:41,410921723,
0,2/6/19 6:41,410924164,
0,2/6/19 8:11,410929138,
0,2/6/19 9:11,410933552,
0,2/6/19 10:11,410938059,
